YYYYMMDD	Kp[8]								Sum	ap[8]								Ap
20130209	2-	2-	1	1-	0	0	1	0+	6+	6	6	4	3	0	0	4	2	3
20130210	2-	2-	1+	1-	0+	1-	2	1	9+	6	6	5	3	2	3	7	4	4
20130211	1+	2-	1-	0+	1-	1	2	2	10-	5	6	3	2	3	4	7	7	5
20130212	1	0+	0	1-	1+	2-	2-	3-	9+	4	2	0	3	5	6	6	12	5
20130213	3-	3	1+	2-	1	1+	3+	4+	19-	12	15	5	6	4	5	18	32	12
20130214	4	4-	3+	3	3-	2	2+	2	23	27	22	18	15	12	7	9	7	15
20130215	0	1	1	1	1-	1+	2	1+	8+	0	4	4	4	3	5	7	5	4
20130216	1-	0	0	1-	2+	4	3+	1	12	3	0	0	3	9	27	18	4	8
20130217	0+	2-	2-	2	3-	3+	3	2	17-	2	6	6	7	12	18	15	7	9
20130218	0+	0	0	0+	1-	1-	1	3+	6+	2	0	0	2	3	3	4	18	4
20130219	0+	1+	1+	2-	2	2+	2	2-	13-	2	5	5	6	7	9	7	6	6
20130220	1+	1+	2-	3	2+	2	2	1	15-	5	5	6	15	9	7	7	4	7
20130221	3	2+	2+	1-	1-	1+	2-	2	14	15	9	9	3	3	5	6	7	7
20130222	2+	3-	2-	2	3	2	2+	3+	19+	9	12	6	7	15	7	9	18	10
20130223	3	1+	0+	2	2+	1	2+	2+	15-	15	5	2	7	9	4	9	9	8
20130224	1-	2-	1-	1	0+	1	0+	1-	6+	3	6	3	4	2	4	2	3	3
20130225	0	0	0+	1-	1	1+	1	2-	6	0	0	2	3	4	5	4	6	3
20130226	1	2-	1	2-	1+	1	2	1	11-	4	6	4	6	5	4	7	4	5
20130227	1	1+	2-	1-	1+	1-	0	1-	7+	4	5	6	3	5	3	0	3	4
20130228	2-	1	2-	1	2-	1-	2-	4	13+	6	4	6	4	6	3	6	27	8
