lat	lon	on2	fdoy
28.550678	154.9642	0.49584964	29.951128
28.729923	155.00766	0.54369426	29.951162
28.90914	155.05145	0.51837516	29.951197
29.087877	155.09547	0.577551	29.951231
29.266489	155.13974	0.5111699	29.951267
29.445385	155.18445	0.5125023	29.951302
29.623936	155.22966	0.5119492	29.951336
29.803038	155.27408	0.6040801	29.95137
29.98173	155.31882	0.6080836	29.951405
30.160606	155.36407	0.5535668	29.95144
30.33904	155.40944	0.5557054	29.951475
30.517918	155.45404	0.538648	29.95151
30.697077	155.49968	0.55016756	29.951544
30.874945	155.54613	0.5643672	29.951578
31.05395	155.59149	0.5544479	29.951614
31.232798	155.63756	0.5511757	29.951649
31.411219	155.68361	0.5574719	29.951683
31.590044	155.72987	0.5922209	29.951717
31.768696	155.77696	0.5612836	29.951752
31.94682	155.82347	0.55144453	29.951788
32.125584	155.8698	0.5087998	29.951822
32.304028	155.91693	0.5474988	29.951857
32.483032	155.965	0.5409771	29.95189
32.661526	156.0117	0.5899018	29.951927
32.840397	156.05872	0.4674395	29.951962
33.01813	156.10712	0.5820527	29.951996
33.196445	156.15504	0.5850512	29.95203
33.375256	156.2039	0.5677067	29.952065
33.553448	156.25186	0.6067778	29.9521
33.73218	156.29993	0.5518681	29.952135
33.910267	156.34866	0.53767323	29.95217
34.088318	156.39755	0.5593711	29.952204
34.266655	156.44696	0.569697	29.952238
34.44089	156.49448	0.61182976	29.952274
34.623703	156.54477	0.5461085	29.952309
34.80204	156.59407	0.56162214	29.952343
34.980328	156.64513	0.54756165	29.952377
35.15797	156.69586	0.5422636	29.952412
35.33605	156.74562	0.5562892	29.952448
35.51361	156.79707	0.6041422	29.952482
35.692017	156.84738	0.5646081	29.952517
35.870193	156.89815	0.594957	29.95255
36.048187	156.9493	0.6864948	29.952585
36.222866	157.00014	0.5555085	29.952621
36.40481	157.0534	0.58409107	29.952656
36.582554	157.10434	0.5148014	29.95269
36.760525	157.15591	0.6898408	29.952724
36.93791	157.20839	0.61447906	29.952759
37.11571	157.26189	0.63601196	29.952795
37.29369	157.31453	0.6246215	29.95283
37.471813	157.36638	0.6153698	29.952864
37.64973	157.42061	0.6202897	29.952898
37.826572	157.47496	0.6150321	29.952932
38.00505	157.52849	0.6171479	29.952969
38.18259	157.58238	0.6523305	29.953003
38.36043	157.63675	0.6056193	29.953037
38.53773	157.69168	0.7015096	29.953072
38.715736	157.7457	0.64608645	29.953106
38.88893	157.80045	0.6718993	29.953142
39.070824	157.857	0.58192897	29.953176
39.2485	157.91254	0.5602677	29.95321
39.426292	157.96846	0.6724992	29.953245
39.603382	158.0253	0.6089833	29.95328
39.780796	158.08153	0.63212395	29.953316
39.95829	158.13843	0.5894121	29.95335
40.13552	158.19508	0.6842736	29.953384
40.31303	158.2534	0.58310413	29.953419
40.49038	158.31238	0.6510606	29.953453
40.66775	158.36943	0.6598251	29.95349
40.844547	158.42888	0.62933135	29.953524
41.017	158.4857	0.6042173	29.953558
41.198933	158.54454	0.6840993	29.953592
41.375904	158.60538	0.64539135	29.953629
41.553333	158.66446	0.591331	29.953663
41.730362	158.72408	0.62484443	29.953697
41.906895	158.78484	0.6578579	29.953732
42.084324	158.84583	0.5933448	29.953766
42.260876	158.90674	0.61640406	29.9538
42.438572	158.96753	0.5770465	29.953836
42.614506	159.02963	0.69345963	29.95387
42.791298	159.0925	0.5533527	29.953905
42.968582	159.15424	0.56728756	29.95394
43.145016	159.21794	0.58045983	29.953976
43.321945	159.28012	0.6429267	29.95401
43.49842	159.34438	0.62692285	29.954044
43.674885	159.40848	0.6685195	29.954079
43.852257	159.472	0.59360206	29.954113
44.02833	159.53717	0.66302824	29.95415
44.20454	159.60231	0.5984056	29.954184
44.380943	159.6685	0.6884893	29.954218
44.557796	159.73404	0.5892501	29.954252
44.734104	159.80084	0.68897414	29.954287
44.910774	159.86768	0.69966936	29.954323
45.087074	159.93506	0.6892283	29.954357
45.263023	160.00308	0.6251863	29.954391
45.439102	160.07146	0.7125641	29.954426
45.61507	160.14052	0.63106227	29.95446
45.79124	160.20871	0.6992668	29.954496
45.967167	160.27782	0.6272924	29.95453
46.143402	160.34807	0.628621	29.954565
46.319305	160.41823	0.61479235	29.9546
46.495174	160.48878	0.6119939	29.954634
46.670765	160.56007	0.68797755	29.95467
46.846306	160.63264	0.63598466	29.954704
47.022556	160.70422	0.6354325	29.954739
47.198788	160.77621	0.60466313	29.954773
47.373734	160.84935	0.5558796	29.954807
47.544712	160.92325	0.59112954	29.954844
47.72429	160.9979	0.65887165	29.954878
47.8996	161.07314	0.7044704	29.954912
48.075665	161.14804	0.59630394	29.954947
48.250908	161.22292	0.7731894	29.95498
48.426003	161.29947	0.66732764	29.955017
48.600918	161.37772	0.6814194	29.955051
48.776154	161.4539	0.70166516	29.955086
48.95109	161.53156	0.58900416	29.95512
49.12618	161.60934	0.6624224	29.955154
49.301014	161.69008	0.6714177	29.95519
49.476086	161.76862	0.6539475	29.955225
49.650566	161.84892	0.6351421	29.95526
49.825806	161.92947	0.63814473	29.955294
50.00011	162.01094	0.69458055	29.95533
50.17504	162.09258	0.6293373	29.955364
50.349346	162.17609	0.6702385	29.955399
50.524097	162.25864	0.67882013	29.955433
50.69822	162.34238	0.5733948	29.955467
50.872723	162.42775	0.6624682	29.955503
51.04704	162.51205	0.6717702	29.955538
51.221165	162.59818	0.65213704	29.955572
51.394802	162.6855	0.6428474	29.955606
51.56927	162.77173	0.65008926	29.95564
51.74318	162.85973	0.54858184	29.955677
51.917038	162.94876	0.59870255	29.955711
52.090954	163.0368	0.61049056	29.955746
52.26467	163.12846	0.65590715	29.95578
52.438362	163.2179	0.5944884	29.955814
52.61194	163.30963	0.6663016	29.95585
52.78525	163.40204	0.6750274	29.955885
52.958397	163.4953	0.63229764	29.95592
53.131905	163.58722	0.6018714	29.955954
53.30517	163.68272	0.7191937	29.955988
53.47854	163.77747	0.6070819	29.956024
53.65089	163.8761	0.7148293	29.956059
53.82412	163.97191	0.72473717	29.956093
53.99706	164.07008	0.5695524	29.956127
54.17002	164.16893	0.6186384	29.956161
54.342453	164.26767	0.57384753	29.956198
54.515255	164.36687	0.6441034	29.956232
54.68808	164.46806	0.6905376	29.956266
54.860172	164.5706	0.64899814	29.9563
55.032654	164.6729	0.72436357	29.956335
55.20452	164.77788	0.58936775	29.956371
55.376884	164.88327	0.6922406	29.956406
55.54913	164.98756	0.574051	29.95644
55.720345	165.09521	0.6514131	29.956474
55.892788	165.20337	0.6291363	29.956509
56.064297	165.31117	0.6782825	29.956545
56.2356	165.42218	0.6527941	29.95658
56.40692	165.53244	0.65656924	29.956614
56.57929	165.64302	0.58168864	29.956648
56.74984	165.7566	0.6194583	29.956684
56.921143	165.87115	0.55244005	29.956718
57.092014	165.98573	0.6901834	29.956753
57.26333	166.1009	0.6220546	29.956787
57.433903	166.21915	0.66520715	29.956821
57.60454	166.33636	0.6508008	29.956856
57.775055	166.45667	0.6476594	29.956892
57.94593	166.57683	0.58166933	29.956926
58.115856	166.69766	0.5869787	29.95696
58.28586	166.82025	0.7155651	29.956995
58.455948	166.9466	0.56651545	29.957031
58.625954	167.07022	0.61886334	29.957066
58.79556	167.19934	0.6415013	29.9571
58.96525	167.32619	0.6744449	29.957134
59.13498	167.45404	0.67825544	29.957169
59.30359	167.58665	0.55044615	29.957205
59.47309	167.71779	0.57571924	29.95724
59.64241	167.85135	0.7484915	29.957273
59.811	167.9863	0.6317805	29.957308
59.980087	168.12085	0.61219966	29.957342
60.147617	168.2599	0.6699827	29.957378
60.31655	168.39868	0.5404446	29.957413
60.484715	168.53975	0.536371	29.957447
60.653137	168.68076	0.6857859	29.957481
