0.0  -90.0  3.85
0.0  -85.0  3.78
0.0  -80.0  3.73
0.0  -75.0  3.73
0.0  -70.0  3.68
0.0  -65.0  3.5
0.0  -60.0  3.23
0.0  -55.0  2.94
0.0  -50.0  2.81
0.0  -45.0  2.8
0.0  -40.0  2.86
0.0  -35.0  2.97
0.0  -30.0  3.11
0.0  -25.0  3.05
0.0  -20.0  2.73
0.0  -15.0  2.51
0.0  -10.0  2.53
0.0  -5.0  2.43
0.0  0.0  2.49
0.0  5.0  2.44
0.0  10.0  2.19
0.0  15.0  1.91
0.0  20.0  1.77
0.0  25.0  1.8
0.0  30.0  1.87
0.0  35.0  1.9
0.0  40.0  1.8
0.0  45.0  1.5
0.0  50.0  1.12
0.0  55.0  0.85
0.0  60.0  0.73
0.0  65.0  0.68
0.0  70.0  0.7
0.0  75.0  0.87
0.0  80.0  1.13
0.0  85.0  1.28
0.0  90.0  1.33
15.0  -90.0  3.83
15.0  -85.0  3.76
15.0  -80.0  3.65
15.0  -75.0  3.63
15.0  -70.0  3.59
15.0  -65.0  3.43
15.0  -60.0  3.18
15.0  -55.0  2.92
15.0  -50.0  2.74
15.0  -45.0  2.7
15.0  -40.0  2.75
15.0  -35.0  2.85
15.0  -30.0  2.99
15.0  -25.0  3.07
15.0  -20.0  2.93
15.0  -15.0  2.66
15.0  -10.0  2.56
15.0  -5.0  2.57
15.0  0.0  2.47
15.0  5.0  2.53
15.0  10.0  2.4
15.0  15.0  2.11
15.0  20.0  1.85
15.0  25.0  1.77
15.0  30.0  1.84
15.0  35.0  1.9
15.0  40.0  1.91
15.0  45.0  1.72
15.0  50.0  1.36
15.0  55.0  1.0
15.0  60.0  0.8
15.0  65.0  0.7
15.0  70.0  0.66
15.0  75.0  0.77
15.0  80.0  1.02
15.0  85.0  1.22
15.0  90.0  1.28
30.0  -90.0  3.81
30.0  -85.0  3.74
30.0  -80.0  3.62
30.0  -75.0  3.53
30.0  -70.0  3.49
30.0  -65.0  3.35
30.0  -60.0  3.09
30.0  -55.0  2.81
30.0  -50.0  2.63
30.0  -45.0  2.6
30.0  -40.0  2.64
30.0  -35.0  2.74
30.0  -30.0  2.87
30.0  -25.0  3.03
30.0  -20.0  3.03
30.0  -15.0  2.83
30.0  -10.0  2.66
30.0  -5.0  2.64
30.0  0.0  2.56
30.0  5.0  2.55
30.0  10.0  2.53
30.0  15.0  2.32
30.0  20.0  2.03
30.0  25.0  1.83
30.0  30.0  1.8
30.0  35.0  1.86
30.0  40.0  1.9
30.0  45.0  1.83
30.0  50.0  1.58
30.0  55.0  1.22
30.0  60.0  0.9
30.0  65.0  0.72
30.0  70.0  0.64
30.0  75.0  0.64
30.0  80.0  0.93
30.0  85.0  1.2
30.0  90.0  1.38
45.0  -90.0  3.8
45.0  -85.0  3.73
45.0  -80.0  3.62
45.0  -75.0  3.48
45.0  -70.0  3.4
45.0  -65.0  3.27
45.0  -60.0  3.0
45.0  -55.0  2.72
45.0  -50.0  2.52
45.0  -45.0  2.46
45.0  -40.0  2.51
45.0  -35.0  2.61
45.0  -30.0  2.73
45.0  -25.0  2.89
45.0  -20.0  3.04
45.0  -15.0  2.96
45.0  -10.0  2.73
45.0  -5.0  2.64
45.0  0.0  2.67
45.0  5.0  2.51
45.0  10.0  2.6
45.0  15.0  2.51
45.0  20.0  2.22
45.0  25.0  1.93
45.0  30.0  1.78
45.0  35.0  1.82
45.0  40.0  1.86
45.0  45.0  1.88
45.0  50.0  1.72
45.0  55.0  1.4
45.0  60.0  1.03
45.0  65.0  0.77
45.0  70.0  0.63
45.0  75.0  0.62
45.0  80.0  0.78
45.0  85.0  1.08
45.0  90.0  1.37
60.0  -90.0  3.79
60.0  -85.0  3.72
60.0  -80.0  3.63
60.0  -75.0  3.5
60.0  -70.0  3.31
60.0  -65.0  3.17
60.0  -60.0  2.9
60.0  -55.0  2.62
60.0  -50.0  2.43
60.0  -45.0  2.35
60.0  -40.0  2.4
60.0  -35.0  2.51
60.0  -30.0  2.63
60.0  -25.0  2.79
60.0  -20.0  2.97
60.0  -15.0  3.01
60.0  -10.0  2.85
60.0  -5.0  2.7
60.0  0.0  2.68
60.0  5.0  2.6
60.0  10.0  2.57
60.0  15.0  2.57
60.0  20.0  2.39
60.0  25.0  2.1
60.0  30.0  1.86
60.0  35.0  1.78
60.0  40.0  1.81
60.0  45.0  1.84
60.0  50.0  1.77
60.0  55.0  1.53
60.0  60.0  1.17
60.0  65.0  0.83
60.0  70.0  0.63
60.0  75.0  0.59
60.0  80.0  0.7
60.0  85.0  0.97
60.0  90.0  1.37
75.0  -90.0  3.78
75.0  -85.0  3.73
75.0  -80.0  3.68
75.0  -75.0  3.54
75.0  -70.0  3.33
75.0  -65.0  3.07
75.0  -60.0  2.81
75.0  -55.0  2.53
75.0  -50.0  2.36
75.0  -45.0  2.29
75.0  -40.0  2.32
75.0  -35.0  2.43
75.0  -30.0  2.56
75.0  -25.0  2.73
75.0  -20.0  2.93
75.0  -15.0  3.07
75.0  -10.0  2.96
75.0  -5.0  2.75
75.0  0.0  2.68
75.0  5.0  2.68
75.0  10.0  2.55
75.0  15.0  2.64
75.0  20.0  2.53
75.0  25.0  2.25
75.0  30.0  1.94
75.0  35.0  1.76
75.0  40.0  1.77
75.0  45.0  1.8
75.0  50.0  1.79
75.0  55.0  1.62
75.0  60.0  1.27
75.0  65.0  0.87
75.0  70.0  0.61
75.0  75.0  0.57
75.0  80.0  0.67
75.0  85.0  0.91
75.0  90.0  1.34
90.0  -90.0  3.77
90.0  -85.0  3.73
