time,N_sat,L1,L2,P1,P2,C1
0.083,G24,126841472.970,98837517.491,0,24137131.661,24137129.267
0.083,G28,110826921.344,86358643.900,0,21089654.738,21089656.425
0.083,G30,117245848.128,91360415.436,0,22311136.585,22311135.140
0.092,G05,128913231.099,100451874.278,0,24531372.466,24531372.581
0.092,G13,106493772.061,82982172.747,0,20265083.608,20265085.152
0.092,G15,111676222.213,87020436.064,0,21251275.356,21251276.241
0.092,G17,125423319.507,97732452.674,0,23867261.218,23867260.901
0.092,G18,128084868.372,99806387.573,0,24373736.982,24373739.259
0.092,G20,120203069.185,93664704.109,0,22873882.677,22873883.475
0.092,G24,126739166.400,98757798.136,0,24117663.479,24117660.903
0.092,G28,110860953.970,86385162.843,0,21096130.935,21096132.594
0.092,G30,117330236.849,91426172.870,0,22327195.215,22327193.797
0.100,G05,129020529.026,100535483.069,0,24551790.525,24551790.626
0.100,G13,106504878.967,82990827.490,0,20267197.070,20267198.726
0.100,G15,111632318.561,86986225.430,0,21242920.671,21242921.702
0.100,G17,125330371.125,97660025.426,0,23849573.676,23849573.275
0.100,G18,128034763.155,99767344.601,0,24364203.182,24364204.339
0.100,G20,120270189.771,93717005.877,0,22886655.105,22886656.324
0.100,G24,126636962.992,98678159.125,0,24098214.209,24098212.181
0.100,G28,110895436.892,86412032.650,0,21102692.839,21102694.482
0.100,G30,117414847.734,91492103.397,0,22343296.153,22343294.660
0.108,G05,129127894.727,100619144.674,0,24572221.475,24572221.776
0.108,G13,106516547.400,82999919.792,0,20269417.519,20269419.167
0.108,G15,111588926.202,86952413.205,0,21234663.380,21234664.428
0.108,G17,125237643.413,97587770.105,0,23831927.952,23831928.022
0.108,G18,127985087.202,99728636.071,0,24354749.744,24354751.177
0.108,G20,120337740.922,93769643.125,0,22899509.651,22899510.892
0.108,G24,126534861.287,98598599.397,0,24078784.979,24078782.962
0.108,G28,110930365.877,86439250.057,0,21109339.631,21109341.241
0.108,G30,117499676.859,91558204.018,0,22359438.524,22359437.088
0.117,G05,129235326.991,100702858.124,0,24592665.231,24592665.469
0.117,G13,106528779.229,83009451.092,0,20271745.175,20271746.771
0.117,G15,111546048.276,86919001.839,0,21226503.960,21226505.060
0.117,G17,125145140.751,97515690.178,0,23814325.526,23814325.457
0.117,G18,127935843.859,99690264.632,0,24345378.688,24345380.445
0.117,G20,120405721.713,93822615.142,0,22912446.233,22912447.237
