yyyy.MM.dd (DDD) HH:mm:ss  fmin     foF2     M(D)    foF2p      h`F2     foF1      fxI      h`F      foE       h`E     fbEs     foEs  	   h`Es h`(fMUF)   MUF(D) type Es

2009.01.01 (001) 07:30:00  1.80 /   3.150 /  3.33 /   2.55 //  238.7 /    --- /   3.80 /X  238.7 /    --- /     --- /    --- /    --- /     --- /   307.1 /  10.48 /   --- / 
2009.01.01 (001) 07:45:00  1.95 /   3.000 /F 3.57 /   2.38 //  235.3 /    --- /   3.85 /X  235.3 /    --- /     --- /   1.95 EB  2.70 /   109.0 /   286.6 /  10.70 /   --- /L1
2009.01.01 (001) 08:00:00  1.70 /   3.100 /  3.42 /   2.21 //  221.6 /    --- /   3.90 /X  221.6 /    --- /     --- /    --- /    --- /     --- /   290.0 /  10.60 /   --- / 
2009.01.01 (001) 08:15:00  2.00 /   2.850 /  3.50 /   2.05 //  242.1 /    --- /   3.65 /X  242.1 /    --- /     --- /    --- /    --- /     --- /   266.1 /   9.98 /   --- / 
2009.01.01 (001) 08:30:00  1.95 /   2.600 /  3.72 /   1.90 //  231.9 /    --- /   3.45 /X  231.9 /    --- /     --- /   1.95 EB  2.70 /   109.0 /   269.5 /   9.68 /   --- /F1
2009.01.01 (001) 08:45:00  1.90 /   2.400 /  3.59 /   1.76 //  269.5 /    --- /   3.20 /X  269.5 /    --- /     --- /   2.05 /   3.40 /   112.0 /   276.3 /   8.62 /   --- /F1
2009.01.01 (001) 09:00:00  1.75 /   2.000 /  3.46 /   1.64 //  286.6 /    --- /   2.80 OX  286.6 /    --- /     --- /   1.75 EB  2.65 /   112.0 /   313.9 /   6.92 /   --- /F2
2009.01.01 (001) 09:15:00  1.90 /     --- /A  --- /   1.52 //    --- /A   --- //   --- /A    --- /    --- //    --- //  2.60 AA  2.60 /   112.0 /     --- /    --- /   --- /F1
2009.01.01 (001) 09:30:00  1.60 /     --- /A  --- /   1.43 //    --- /A   --- //   --- /A    --- /    --- //    --- //  2.90 AA  2.90 /   108.0 /     --- /    --- /   --- /F1
2009.01.01 (001) 09:45:00  1.70 /     --- /A  --- /   1.34 //    --- /A   --- //   --- /A    --- /    --- //    --- //  2.80 AA  2.80 /   115.0 /     --- /    --- /   --- /F1
2009.01.01 (001) 10:00:00   --- /B    --- /B  --- /   1.28 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 10:15:00   --- /B    --- /B  --- /   1.22 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 10:30:00   --- /B    --- /B  --- /   1.18 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 10:45:00   --- /B    --- /B  --- /   1.16 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 11:00:00   --- /B    --- /B  --- /   1.15 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 11:15:00   --- /B    --- /B  --- /   1.15 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 11:30:00   --- /B    --- /B  --- /   1.16 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 11:45:00   --- /B    --- /B  --- /   1.17 //    --- /    --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 12:00:00   --- /B    --- /B  --- /   1.20 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 12:15:00   --- /B    --- /B  --- /   1.23 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 12:30:00   --- /B    --- /B  --- /   1.27 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 12:45:00   --- /B    --- /B  --- /   1.31 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 13:00:00   --- /B    --- /B  --- /   1.36 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 13:15:00   --- /B    --- /B  --- /   1.41 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 13:30:00   --- /B    --- /B  --- /   1.46 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 13:45:00   --- /B    --- /B  --- /   1.51 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 14:00:00   --- /B    --- /B  --- /   1.56 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 14:15:00  1.75 /     --- /A  --- /   1.61 //    --- /A   --- //   --- //    --- /    --- //    --- //  2.90 AA  2.90 /   125.0 /     --- /    --- /   --- /F1
2009.01.01 (001) 14:30:00   --- /B    --- /B  --- /   1.66 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 14:45:00   --- /B    --- /B  --- /   1.70 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
